marker1,marker2,marker3,distance1,distance2,distance3,AAA,AAB,AAH,ABA,ABB,ABH,AHA,AHB,AHH,BAA,BAB,BAH,BBA,BBB,BBH,BHA,BHB,BHH,HAA,HAB,HAH,HBA,HBB,HBH,HHA,HHB,HHH
D1M54,D1M55,D1M68,71.1409396,72.48322148,89.93288591,468,35,216,0,0,0,3,0,23,0,0,0,35,444,213,6,5,21,12,1,9,0,22,14,215,243,1014
D1M54,D1M55,D1M61,71.1409396,72.48322148,80.53691275,567,10,142,0,0,0,2,0,24,0,0,0,10,555,127,3,2,27,15,0,7,0,28,8,142,137,1193
D1M54,D1M67,D1M68,71.1409396,88.59060403,89.93288591,463,0,11,0,30,0,8,5,228,37,0,2,0,445,14,4,4,218,205,0,8,0,249,8,22,17,1021
D1M54,D1M61,D1M67,71.1409396,80.53691275,88.59060403,458,2,109,0,10,0,16,18,132,8,0,5,6,442,109,25,17,112,122,1,34,2,134,29,89,122,997
D1M54,D1M61,D1M68,71.1409396,80.53691275,89.93288591,452,3,114,0,10,0,19,22,125,7,0,6,7,428,122,27,21,106,118,1,38,2,132,31,107,133,968
D1M55,D1M67,D1M68,72.48322148,88.59060403,89.93288591,471,0,12,0,31,0,9,5,213,32,0,2,0,462,14,3,4,211,202,0,7,0,231,8,22,17,1043
D1M55,D1M61,D1M67,72.48322148,80.53691275,88.59060403,469,2,111,0,10,0,14,19,116,7,0,3,6,463,114,21,13,101,112,1,34,2,113,24,95,125,1024
D1M55,D1M61,D1M68,72.48322148,80.53691275,89.93288591,462,3,117,0,10,0,18,23,108,6,0,4,7,449,127,22,17,96,109,1,37,2,111,26,113,136,995
D1M61,D1M67,D1M68,80.53691275,88.59060403,89.93288591,572,0,16,0,2,1,5,2,141,7,0,1,0,570,16,2,0,136,126,0,4,0,152,5,27,24,1190
D1M64,D1M65,D1M77,84.56375839,85.90604027,102.0134228,480,23,219,0,0,0,6,2,19,0,0,0,15,451,231,3,1,17,11,0,6,2,18,9,237,246,1003
D1M64,D1M65,D1M78,84.56375839,85.90604027,103.3557047,471,24,227,0,0,0,6,2,19,0,0,0,18,436,243,3,2,16,11,0,6,2,18,9,253,257,976
D1M64,D1M65,D1M71,84.56375839,85.90604027,93.95973154,576,4,142,0,0,0,3,1,23,0,0,0,7,562,128,2,1,18,12,0,5,1,24,4,140,149,1197
D1M64,D1M77,D1M78,84.56375839,102.0134228,103.3557047,471,0,15,0,25,0,6,1,231,17,0,1,0,430,22,4,8,236,246,0,4,0,258,6,20,17,981
D1M64,D1M71,D1M77,84.56375839,93.95973154,102.0134228,460,3,116,1,4,0,25,18,122,6,0,3,1,443,119,11,9,126,125,4,24,1,140,32,124,120,962
D1M64,D1M71,D1M78,84.56375839,93.95973154,103.3557047,448,4,127,1,4,0,28,18,119,6,0,3,4,423,136,11,15,120,124,5,24,1,135,37,141,135,930
D1M65,D1M77,D1M78,85.90604027,102.0134228,103.3557047,476,0,15,0,23,0,6,1,218,16,0,1,0,447,22,4,7,229,242,0,4,0,243,6,20,18,1001
D1M65,D1M71,D1M77,85.90604027,93.95973154,102.0134228,468,3,117,1,3,0,22,17,108,6,0,2,2,461,123,9,8,115,117,4,24,0,123,28,129,122,987
D1M65,D1M71,D1M78,85.90604027,93.95973154,103.3557047,456,4,128,1,3,0,25,17,105,6,0,2,5,441,140,9,13,110,116,5,24,0,118,33,146,138,954
D1M71,D1M77,D1M78,93.95973154,102.0134228,103.3557047,574,0,17,0,7,0,4,2,137,3,0,0,0,560,27,3,2,146,157,0,3,0,146,1,23,22,1165
D1M74,D1M75,D1M87,97.98657718,99.32885906,115.4362416,436,27,244,0,0,0,6,5,17,0,0,0,30,481,225,6,7,13,21,2,18,0,21,9,241,227,963
D1M74,D1M75,D1M88,97.98657718,99.32885906,116.7785235,428,33,246,0,0,0,6,5,17,0,0,0,37,473,226,7,7,12,21,6,14,1,21,8,255,252,924
D1M74,D1M75,D1M81,97.98657718,99.32885906,107.3825503,554,7,146,0,0,0,2,4,22,0,0,0,10,579,147,4,5,17,31,0,10,0,27,3,148,140,1143
D1M74,D1M87,D1M88,97.98657718,115.4362416,116.7785235,429,0,13,0,32,0,5,6,250,36,0,0,0,472,16,8,8,222,251,0,11,0,246,4,26,33,931
D1M74,D1M81,D1M87,97.98657718,107.3825503,115.4362416,425,6,125,0,10,1,17,16,135,12,1,1,9,471,104,15,16,133,138,1,40,0,137,30,124,112,920
D1M74,D1M81,D1M88,97.98657718,107.3825503,116.7785235,414,11,131,0,10,1,20,17,131,12,0,2,13,456,115,19,24,121,134,3,42,1,135,31,142,141,873
D1M75,D1M87,D1M88,99.32885906,115.4362416,116.7785235,444,0,13,0,29,0,5,10,247,30,0,0,0,486,16,8,8,218,242,0,11,0,235,4,26,29,938
D1M75,D1M81,D1M87,99.32885906,107.3825503,115.4362416,442,7,136,0,6,1,15,16,125,9,1,0,9,486,111,12,15,123,124,0,30,0,126,23,129,113,940
